	BREAD	GRAIN	LAND
	10	10	10
	12	9	10
	12	9	9
	14	8	9
	15	6	9
	17	5	9
	17	5	8
	19	4	8
	20	2	8
	22	1	8
	22	1	7
	24	0	7
	24	0	8
	24	1	8
	26	0	8
	26	0	7
	26	1	7
	28	0	7
	27	2	7
	29	1	7
	28	1	8
	30	0	8
	29	2	8
	31	1	8
	32	0	8
	31	0	9
	30	2	9
	32	1	9
	30	1	10
	32	0	10
	31	2	10
	33	1	10
	33	2	10
	35	1	10
	34	3	10
	36	2	10
	35	4	10
	37	3	10
	36	5	10
	38	4	10
	36	4	11
	38	3	11
	37	5	11
	39	4	11
	39	5	11
	41	4	11
	41	5	11
	43	4	11
	42	6	11
	44	5	11
	43	7	11
	45	6	11
	42	6	12
	44	5	12
	45	2	12
	47	1	12
	43	1	13
	45	0	13
	41	0	14
	41	1	14
	43	0	14
	42	3	14
	44	2	14
	39	2	15
	41	1	15
	41	0	15
	35	0	16
	35	1	16
	37	0	16
	36	3	16
	38	2	16
	37	3	15
	39	2	15
	38	3	14
	40	2	14
	39	5	14
	41	4	14
	35	4	15
	37	3	15
	38	2	16
	40	1	16
	33	1	16
	35	0	16
	34	3	16
	36	2	16
	28	2	16
	30	1	16
	29	4	16
	31	3	16
	30	4	15
	32	3	15
	31	6	15
	33	5	15
	34	2	14
	36	1	14
	28	1	14
	30	0	14
	21	0	14
	12	0	14
	2	0	14
