	BREAD	GRAIN	LAND
	10	10	10
	9	10	11
	7	10	12
	6	10	13
	6	9	13
	5	9	14
	3	9	15
	2	9	16
	4	9	15
	3	9	16
	3	10	16
	2	10	17
	2	9	17
	1	9	18
	1	8	18
	0	8	19
	0	8	20
	0	7	20
	1	7	20
	0	7	21
	2	7	20
	1	7	21
	2	7	20
	1	7	21
	0	7	22
	2	7	21
	1	7	22
	2	7	21
	1	7	22
	3	7	21
	2	7	22
	0	7	23
	0	6	23
	0	5	23
	1	5	21
	0	5	22
	1	5	20
	0	5	21
	2	5	20
	1	5	21
	1	4	21
	0	4	22
	0	3	22
	1	3	19
	0	3	20
	2	3	19
	1	3	20
	0	3	23
	2	3	22
	1	3	23
	0	3	26
	2	3	25
	1	3	26
	0	3	29
	0	2	29
	1	2	25
	0	2	26
	2	2	25
	1	2	26
	1	3	26
	0	3	27
	2	3	26
	1	3	27
	0	3	31
	0	2	31
	1	2	27
	0	2	28
	0	1	28
	0	0	28
	1	0	23
	0	0	24
	2	0	23
	1	0	24
	3	0	23
	2	0	24
	1	0	29
	0	0	30
	1	0	24
	0	0	25
	2	0	24
	1	0	25
	2	0	18
	1	0	19
	0	0	26
	1	0	19
	0	0	20
	2	0	19
	1	0	20
	0	0	27
	2	0	26
	1	0	27
	0	0	34
	2	0	33
	1	0	34
	0	0	41
	2	0	40
	1	0	41
